	city	neighborhood	price	house type	house_area	garden_area	rooms	balconies	air_condition	parking	protected_room	elevator	sun_balcony	renovated	furniture	accessibility	bars	storage
121	Tel Aviv Jaffa	הקריה	3650000.0	apartment	92.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
122	Tel Aviv Jaffa	אין	4250000.0	penthouse	110.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
123	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	3650000.0	apartment	90.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
124	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	4500000.0	apartment	79.0	0.0	3.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
125	Tel Aviv Jaffa	אין	3850000.0	apartment	92.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
126	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	13500000.0	apartment	145.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
127	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	3090000.0	apartment	58.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
128	Tel Aviv Jaffa	יד אליהו	2040000.0	apartment	95.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
129	Tel Aviv Jaffa	אזורי חן	4050000.0	apartment	112.0	0.0	4.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
130	Tel Aviv Jaffa	הדר יוסף	3150000.0	apartment	78.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	Tel Aviv Jaffa	רמת אביב ג	3250000.0	apartment	70.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
132	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	2850000.0	apartment	50.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	Tel Aviv Jaffa	הגוש הגדול	4250000.0	apartment	116.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
134	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	3100000.0	apartment	110.0	0.0	5.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
135	Tel Aviv Jaffa	נוה אביבים	4590000.0	apartment	130.0	0.0	5.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
136	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	4790000.0	apartment	87.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
137	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	4650000.0	apartment	94.0	0.0	3.5	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
138	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	2500000.0	apartment	80.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
139	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	6550000.0	apartment	132.0	0.0	5.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
140	Tel Aviv Jaffa	התקווה	2500000.0	private house	130.0	55.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
141	Tel Aviv Jaffa	הצפון הישן החלק הדרום מערבי	3350000.0	apartment	60.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
142	Tel Aviv Jaffa	לב תל אביב החלק הדרומי	6750000.0	duplex	94.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
143	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	9500000.0	garden apartment	300.0	150.0	5.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
